county,state,crimeRate,crimeRateBucket,year
St. Louis,MO,303.3619454,371,2017
Crittenden,AR,1754.914968,511,2017
Alexander,IL,1664.700485,511,2017
Kenedy,TX,1456.31068,511,2017
De Soto,LA,1447.40243,511,2017
Baltimore,MD,508.0101821,464,2017
Shelby,TN,1315.003752,511,2017
Marlboro,SC,1253.437132,511,2017
Storey,NV,1217.656012,510,2017
District of,,1216.801325,510,2017
Dillon,SC,1165.583272,510,2017
Scott,MO,1163.145839,510,2017
Philadelphia,PA,1150.29633,510,2017
Pershing,NV,1148.756725,510,2017
Greenwood,SC,1140.226324,509,2017
Madison,TN,1138.42383,509,2017
Davidson,TN,1129.513728,509,2017
Marion,IN,1083.508119,509,2017
Wayne,MI,1065.188284,509,2017
Jackson,MO,1026.623686,509,2017
Northwest Arctic,AK,1014.964216,508,2017
Pemiscot,MO,998.7095326,508,2017
Iberville,LA,974.0162436,508,2017
Pulaski,AR,959.9165823,508,2017
Jefferson,AR,959.1343198,508,2017
Miller,AR,956.1771347,508,2017
Muskogee,OK,954.4400666,507,2017
Barnwell,SC,953.9310095,507,2017
Tangipahoa,LA,952.8593755,507,2017
Marion,SC,941.6313295,507,2017
Dillingham,AK,938.1237525,507,2017
Dougherty,GA,930.4176661,507,2017
Carter,OK,930.0694974,506,2017
Genesee,MI,922.7783984,506,2017
Macon,AL,919.341731,506,2017
Milwaukee,WI,912.6349471,506,2017
Richland,SC,911.4452882,506,2017
Grundy,TN,911.2461105,506,2017
Greene,AL,903.4766697,505,2017
Rock,MN,892.8571429,505,2017
San Joaquin,CA,887.1644385,505,2017
Pottawattamie,IA,873.5225606,505,2017
Nolan,TX,871.1844118,505,2017
Kodiak,AK,856.0311284,505,2017
Winnebago,IL,854.9331535,504,2017
Suffolk,MA,831.2342903,504,2017
Saginaw,MI,828.830479,504,2017
Dallas,AL,828.6503477,504,2017
Fulton,GA,826.1767583,504,2017
Anchorage,AK,824.7217146,504,2017
Madison,FL,822.2981632,503,2017
Phillips,AR,818.6675817,503,2017
Sangamon,IL,817.9969369,503,2017
Haywood,TN,812.1158911,503,2017
Lucas,OH,810.9662621,503,2017
Robeson,NC,809.8427036,503,2017
Meade,KS,805.8945429,503,2017
Escambia,FL,798.51676,502,2017
Jefferson,AL,798.3574913,502,2017
Nicholas,WV,793.3756981,502,2017
Franklin,FL,793.2402138,502,2017
St. Clair,IL,782.1542957,502,2017
Orleans,LA,782.1184796,502,2017
Ector,TX,781.9089826,501,2017
Avoyelles,LA,777.2585293,501,2017
Rapides,LA,773.792033,501,2017
Sumter,SC,767.644257,501,2017
Comanche,OK,766.7864604,501,2017
Mississippi,AR,763.9897241,501,2017
Colleton,SC,762.1467132,500,2017
Modoc,CA,754.3456871,500,2017
Alameda,CA,753.6935735,500,2017
Sumter,GA,752.455044,500,2017
Darlington,SC,746.3016118,500,2017
Red River,LA,742.0733078,500,2017
Lubbock,TX,740.6920961,499,2017
Socorro,NM,739.3084622,499,2017
Duval,TX,738.8316151,499,2017
Bernalillo,NM,738.4818924,499,2017
Marion,TX,732.7796776,499,2017
Lee,SC,730.3646373,499,2017
Shasta,CA,725.2206951,498,2017
Laurens,SC,724.7580365,498,2017
North Slope,AK,722.6925459,498,2017
Hinds,MS,721.5219335,498,2017
Cibola,NM,720.6877629,498,2017
Tulsa,OK,719.1412721,498,2017
Putnam,FL,717.8582747,497,2017
Jefferson,TX,710.8948399,497,2017
Ohio,WV,706.6572141,497,2017
San Francisco,CA,701.4217104,497,2017
Bamberg,SC,699.9351912,497,2017
Merced,CA,696.3544912,497,2017
Harris,TX,696.1038338,496,2017
Jim Wells,TX,695.7773512,496,2017
Oklahoma,OK,694.8738489,496,2017
McKinley,NM,694.3307688,496,2017
Mississippi,MO,693.1802269,496,2017
Alpine,CA,690.2502157,496,2017
Calhoun,GA,689.8666258,495,2017
Dyer,TN,688.2474551,495,2017
Clark,NV,685.153077,495,2017
Guadalupe,NM,681.1689739,495,2017
San Juan,NM,675.0828044,495,2017
Fairfield,SC,675.0616643,495,2017
McDonald,MO,673.8186009,494,2017
Taylor,FL,673.754211,494,2017
Wayne,GA,668.2847358,494,2017
East Baton Rouge,LA,667.0754469,494,2017
Leon,FL,664.1948589,494,2017
Lander,NV,663.1299735,494,2017
Orange,FL,662.6310837,494,2017
Leflore,MS,661.2459265,493,2017
Essex,NJ,659.9836619,493,2017
Peach,GA,658.9175983,493,2017
Burke,GA,658.7270427,493,2017
Hamilton,TN,658.496643,493,2017
Miami-Dade,FL,656.0124348,493,2017
Columbia,FL,654.3979391,492,2017
Crockett,TN,651.0862861,492,2017
Lenoir,NC,650.100146,492,2017
Hempstead,AR,649.6395835,492,2017
Hutchinson,TX,646.2257665,492,2017
Richmond,VA,11.16944041,27,2017
Jefferson Davis,MS,644.4593237,492,2017
Conecuh,AL,644.0599053,491,2017
Morehouse,LA,639.3909155,491,2017
Early,GA,635.553026,491,2017
Henderson,TN,634.6263548,491,2017
Richmond,NY,634.123325,491,2017
New York,NY,634.0093435,491,2017
Jefferson,IL,633.9923403,490,2017
Bronx,NY,632.0428157,490,2017
Queens,NY,630.3962024,490,2017
Kings,NY,630.2492642,490,2017
Warren,GA,629.7229219,490,2017
Nash,NC,628.8580653,490,2017
Lauderdale,TN,626.0118726,489,2017
Cocke,TN,625.7222582,489,2017
Bowie,TX,622.5464503,489,2017
Hampton,SC,622.3049784,489,2017
Hendry,FL,621.814203,489,2017
Duval,FL,621.5464156,489,2017
Durham,NC,621.2408853,488,2017
Greene,MO,620.7066615,488,2017
Jefferson,FL,619.9802734,488,2017
Escambia,AL,618.6978385,488,2017
Horry,SC,617.6419817,488,2017
Nueces,TX,616.5739392,488,2017
Sedgwick,KS,615.5337693,487,2017
Edgecombe,NC,615.3956886,487,2017
Montgomery,KS,615.303861,487,2017
Caddo,LA,614.7822368,487,2017
Graham,AZ,613.6278747,487,2017
Madera,CA,612.9051309,487,2017
Sebastian,AR,612.5237549,486,2017
Emanuel,GA,612.2359732,486,2017
Camden,NJ,610.3101467,486,2017
Nye,NV,609.9723385,486,2017
Greenlee,AZ,607.8019671,486,2017
Alachua,FL,605.2451953,486,2017
Union,AR,604.5117216,485,2017
Peoria,IL,603.941007,485,2017
Madison,AL,603.3578174,485,2017
Calhoun,MI,602.1686961,485,2017
Williamsburg,SC,601.8084495,485,2017
Roberts,TX,601.6847172,485,2017
Bradley,TN,600.895452,485,2017
Anderson,SC,600.0807801,484,2017
Denver,CO,599.0808243,484,2017
Chester,SC,598.5634477,484,2017
Lowndes,AL,597.9631879,484,2017
Willacy,TX,597.6004744,484,2017
Cook,IL,596.6569351,484,2017
Clark,IN,593.2458517,483,2017
DeKalb,GA,592.9851123,483,2017
Potter,TX,592.6303417,483,2017
Arkansas,AR,591.1487458,483,2017
Chicot,AR,591.0895457,483,2017
Cochise,AZ,590.856781,483,2017
Wyandotte,KS,590.457901,482,2017
Turner,GA,590.1155643,482,2017
Lake,CA,588.7879737,482,2017
Luna,NM,588.020601,482,2017
Manatee,FL,585.7833537,482,2017
Hampden,MA,583.3274487,482,2017
Haralson,GA,582.5583436,481,2017
New Castle,DE,581.7888096,481,2017
Calhoun,AL,580.7976974,481,2017
Jackson,IL,580.1317417,481,2017
St. James,LA,579.2570798,481,2017
Sullivan,TN,578.5625339,481,2017
Greenville,SC,577.3131534,480,2017
Concordia,LA,577.2429312,480,2017
Jefferson,KY,576.7462264,480,2017
Kern,CA,575.8432818,480,2017
Clayton,GA,575.2781773,480,2017
Plumas,CA,572.6708733,480,2017
Emporia,VA,572.6556908,479,2017
Kershaw,SC,571.0538102,479,2017
Mecosta,MI,570.6597383,479,2017
Natchitoches,LA,569.7787317,479,2017
Eddy,NM,569.6670332,479,2017
Union,SC,567.2493757,479,2017
West Carroll,LA,566.9428696,478,2017
Vermilion,IL,565.1757149,478,2017
Rio Arriba,NM,563.9848273,478,2017
Cumberland,NC,562.7993899,478,2017
Hardeman,TN,562.6092907,478,2017
Independence,AR,562.2077466,478,2017
St. Mary,LA,562.1649889,477,2017
Chambers,AL,562.0279843,477,2017
Tehama,CA,561.3968314,477,2017
Brooks,GA,560.7115236,477,2017
Champaign,IL,560.2815073,477,2017
Glynn,GA,559.4542867,477,2017
Petersburg,VA,559.3459955,476,2017
Norfolk,VA,558.2211677,476,2017
Henderson,IL,557.9399142,476,2017
Sierra,CA,557.9258287,476,2017
East Carroll,LA,557.843007,476,2017
Claiborne,TN,557.6679341,476,2017
Mecklenburg,NC,556.9251355,476,2017
Del Norte,CA,556.0937108,475,2017
Prince George's,MD,555.679764,475,2017
Lafayette,LA,554.917802,475,2017
Butler,MO,554.7431702,475,2017
Sumter,AL,553.8507597,475,2017
Maury,TN,552.7632192,475,2017
Mobile,AL,552.3100664,474,2017
St. Landry,LA,551.2018597,474,2017
Cumberland,NJ,551.0639921,474,2017
Tift,GA,551.0599216,474,2017
Pinellas,FL,550.6712247,474,2017
Roanoke,VA,159.3173945,221,2017
Clarendon,SC,550.1382623,474,2017
Chaves,NM,549.9597405,473,2017
Quitman,GA,549.2184199,473,2017
Wicomico,MD,549.080241,473,2017
Sacramento,CA,547.6937429,473,2017
Andrews,TX,547.6516459,473,2017
Stanislaus,CA,547.107372,473,2017
Spalding,GA,546.7734102,472,2017
Victoria,TX,543.1643489,472,2017
St. Francis,AR,542.9200293,472,2017
Wirt,WV,542.2809693,472,2017
Halifax,NC,540.6618899,472,2017
Jeff Davis,GA,539.8560384,472,2017
Cecil,MD,538.6947691,471,2017
Brevard,FL,537.9223453,471,2017
Butler,AL,537.8731804,471,2017
Montgomery,TN,536.6094754,471,2017
Beaufort,SC,536.5518686,471,2017
Forsyth,NC,535.9614639,471,2017
Fresno,CA,534.2980847,470,2017
Kent,DE,534.1880342,470,2017
Howard,TX,533.9308933,470,2017
Putnam,GA,533.4331571,470,2017
Morgan,MO,532.938564,470,2017
Anson,NC,531.3252552,470,2017
Allen,OH,530.8742806,469,2017
Clinch,GA,529.8013245,469,2017
Wilkes,GA,529.4705295,469,2017
Muskegon,MI,529.2150075,469,2017
Lincoln,WV,528.7814834,469,2017
Gadsden,FL,528.2071265,469,2017
Bullock,AL,526.3652599,468,2017
Dauphin,PA,525.2143487,468,2017
Hill,MT,525.1086432,468,2017
Bibb,GA,524.1693112,468,2017
Knox,TN,522.4662747,468,2017
Vance,NC,522.2281735,468,2017
Bryan,OK,522.1046922,467,2017
Cuyahoga,OH,521.2349405,467,2017
Taney,MO,520.7652823,467,2017
Martin,NC,519.0092409,467,2017
McMinn,TN,517.7585449,467,2017
Dallas,AR,516.8284382,467,2017
Delaware,PA,516.0390268,467,2017
Ward,TX,515.8306652,466,2017
Gibson,TN,515.5994096,466,2017
Bristol,MA,515.394913,466,2017
Oconee,SC,514.3580518,466,2017
Etowah,AL,513.8024266,466,2017
Pontotoc,OK,513.2659507,466,2017
Monroe,FL,512.1085513,465,2017
Gonzales,TX,512.0126034,465,2017
Abbeville,SC,511.8566801,465,2017
Galax,VA,511.7270789,465,2017
Dorchester,MD,508.2669933,465,2017
Lawrence,PA,508.2108515,465,2017
Ben Hill,GA,508.1358835,464,2017
Kings,CA,508.081611,464,2017
Des Moines,IA,506.4229249,464,2017
Okeechobee,FL,505.9750826,464,2017
Lancaster,SC,504.6111014,464,2017
Lee,IA,504.4560283,463,2017
Calcasieu,LA,504.3626086,463,2017
Randall,TX,503.6608315,463,2017
St. Charles,LA,503.6395081,463,2017
Baldwin,GA,501.7485176,463,2017
Pueblo,CO,501.7002063,463,2017
Cherokee,TX,501.1989465,462,2017
McNairy,TN,501.1476664,462,2017
Lea,NM,501.0137816,462,2017
Franklin,AL,497.9068882,462,2017
Geary,KS,497.5390541,462,2017
Tallapoosa,AL,497.5365871,462,2017
DeWitt,TX,497.4881725,461,2017
Bay,FL,497.1797905,461,2017
Scotland,NC,496.8771686,461,2017
St. Helena,LA,496.5517241,461,2017
Washington,LA,495.4867619,461,2017
Calhoun,TX,495.2765294,461,2017
Johnson,TN,495.0770429,460,2017
Valencia,NM,492.8949714,460,2017
Gregg,TX,492.5868123,460,2017
Kleberg,TX,492.1965048,460,2017
Sheridan,MT,490.7306434,460,2017
Muscogee,GA,490.5731077,460,2017
Nantucket,MA,490.4317723,459,2017
Decatur,TN,488.80885,459,2017
Osceola,FL,488.4356659,459,2017
York,SC,488.3795741,459,2017
Shawnee,KS,488.1703955,459,2017
Pennington,SD,486.9469842,459,2017
Ingham,MI,485.4128135,458,2017
Cloud,KS,484.2875592,458,2017
Bradford,FL,484.1713222,458,2017
Douglas,NE,483.3822237,458,2017
Colbert,AL,482.3917828,458,2017
Passaic,NJ,481.7351959,458,2017
Gray,TX,481.7081109,458,2017
Portsmouth,VA,481.2639676,457,2017
Monroe,AL,481.201655,457,2017
Union,NM,480.5491991,457,2017
Hardin,TN,480.1413536,457,2017
Clarke,AL,480.0253898,457,2017
Pointe Coupee,LA,480.0213343,457,2017
Crenshaw,AL,479.0504791,456,2017
Marion,FL,479.010677,456,2017
Palm Beach,FL,478.6575434,456,2017
Pima,AZ,478.147697,456,2017
Multnomah,OR,477.461544,456,2017
Georgetown,SC,476.5056254,456,2017
Chesterfield,SC,476.2213997,455,2017
Crisp,GA,475.6599246,455,2017
Pottawatomie,OK,473.593974,455,2017
De Baca,NM,471.9454641,455,2017
Calhoun,SC,471.6041182,455,2017
Radford,VA,471.3687151,455,2017
Broward,FL,470.9480521,454,2017
Raleigh,WV,470.6150977,454,2017
San Miguel,NM,469.5000175,454,2017
Muscatine,IA,469.2314875,454,2017
Dimmit,TX,468.0187207,454,2017
Lincoln,TN,466.8034371,454,2017
Okaloosa,FL,464.3699274,453,2017
Reno,KS,464.2467674,453,2017
Decatur,GA,464.1982529,453,2017
Hamblen,TN,462.948283,453,2017
McCurtain,OK,462.7249357,453,2017
Ramsey,MN,462.49008,453,2017
Tulare,CA,462.4094173,452,2017
Ouachita,LA,462.1687364,452,2017
Marengo,AL,461.4239643,452,2017
Hampshire,WV,460.6525912,452,2017
Clinton,IA,460.5534903,452,2017
Barrow,GA,460.4425287,452,2017
Erie,NY,459.3060294,451,2017
Coffee,TN,459.1712428,451,2017
Richmond,NC,459.0022627,451,2017
Bourbon,KS,457.8507945,451,2017
Atlantic,NJ,457.4751144,451,2017
White Pine,NV,457.3928607,451,2017
Sussex,DE,457.297156,450,2017
Kanawha,WV,455.3653117,450,2017
Meigs,TN,454.9746759,450,2017
Richmond,GA,454.9437385,450,2017
